LAD_Code,LAD_Name,LSOA_2021_Code,LSOA_2021_Name,Total,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,Year,Source_File
E06000023,Bristol,E01014485,Bristol 058A,1905,8,20,19,13,12,11,8,14,12,8,12,9,9,7,4,8,4,9,2,11,8,8,15,13,23,17,26,34,35,21,38,23,23,23,23,24,17,17,14,10,11,10,20,17,11,8,16,13,14,9,18,15,8,11,8,12,7,17,9,13,7,7,8,11,11,7,9,5,4,1,4,8,3,3,5,3,5,4,5,4,4,1,4,2,1,0,5,1,0,0,3,15,18,12,16,10,14,10,9,8,8,7,6,7,2,9,4,8,7,17,11,7,7,7,12,16,28,30,25,30,33,28,21,23,23,32,22,21,15,20,19,17,8,12,8,11,8,7,10,13,7,11,7,5,17,8,7,8,7,8,7,3,9,5,6,3,3,3,6,17,1,1,3,1,5,2,3,6,10,1,5,1,3,3,3,1,0,4,0,0,0,0,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014486,Bristol 058C,2564,14,13,21,12,16,13,13,13,18,19,16,21,12,15,15,9,7,9,9,11,21,31,16,36,40,42,38,45,41,32,41,32,36,30,22,21,21,21,19,18,16,15,17,21,14,11,11,19,10,20,14,17,17,19,11,7,7,8,12,9,9,12,4,7,2,3,5,4,2,4,2,2,4,4,3,1,7,4,4,4,3,2,3,1,2,4,0,2,2,1,0,19,9,12,10,18,8,15,17,13,18,20,16,23,8,9,12,8,12,17,15,14,9,28,36,37,31,41,35,50,62,32,28,28,34,36,23,30,25,24,14,23,12,16,18,22,16,15,16,14,18,13,12,15,9,9,15,10,9,12,9,13,10,6,12,10,8,4,6,3,1,3,3,3,5,4,8,3,6,3,0,0,2,3,1,2,0,1,1,0,0,3,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014487,Bristol 020A,1996,8,4,7,8,9,6,7,8,6,5,3,3,8,10,9,7,7,15,7,11,58,49,49,27,55,28,16,22,28,27,25,21,20,16,17,13,15,12,16,7,9,8,12,14,8,11,8,12,14,8,13,5,7,8,11,11,9,8,7,6,11,13,9,14,5,1,7,6,4,4,2,5,4,2,1,0,5,2,2,2,1,2,4,0,0,5,2,0,0,0,5,14,5,13,8,5,10,5,4,17,9,12,12,11,8,4,15,8,9,6,7,34,76,45,42,51,38,28,30,21,18,23,17,17,16,12,20,13,15,12,3,9,10,10,8,9,12,7,17,9,12,13,8,13,13,9,13,14,6,7,4,9,8,8,9,11,4,7,7,2,8,4,1,2,6,6,2,1,0,2,1,2,0,1,0,0,1,0,0,0,0,2,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014488,Bristol 058B,2015,8,14,12,12,11,3,9,9,9,4,9,9,10,15,6,13,9,12,5,12,9,10,28,23,26,25,36,34,38,32,23,26,27,18,21,14,18,20,12,11,14,11,12,8,13,17,14,14,12,14,14,18,14,9,9,9,11,13,5,7,14,10,3,13,10,5,7,4,8,9,3,2,4,4,1,3,3,2,0,0,0,1,0,1,3,1,2,2,0,0,3,5,12,10,9,8,7,8,8,9,13,11,8,12,6,11,7,9,17,7,8,10,5,21,20,16,19,33,27,39,33,28,23,23,24,26,22,22,23,17,19,20,15,15,15,22,17,14,10,12,15,15,16,14,10,9,9,15,11,16,10,12,12,8,6,10,6,4,4,3,6,4,6,2,5,0,1,2,0,2,3,1,0,0,0,1,0,0,1,0,0,3,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014489,Bristol 059A,2604,11,8,14,8,7,3,11,9,5,7,9,8,16,9,6,7,12,11,6,7,18,40,45,31,62,56,58,59,50,52,33,45,27,24,30,25,27,23,14,16,23,21,16,11,19,9,13,3,12,23,10,15,11,10,11,12,13,5,7,6,6,7,3,6,3,3,3,2,4,2,3,1,2,0,3,3,2,1,3,3,3,2,1,2,1,2,2,2,2,1,3,19,17,11,17,15,6,9,9,13,12,8,8,7,8,8,11,15,11,11,14,27,31,38,50,56,54,49,66,47,50,34,35,44,44,50,28,29,25,31,16,18,12,15,22,10,21,15,12,18,12,16,16,10,13,12,6,12,9,8,5,8,4,7,5,8,4,3,5,0,2,4,0,1,0,1,2,1,0,2,1,3,2,1,1,2,0,0,2,0,0,0,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014491,Bristol 020B,2128,15,12,16,14,14,16,9,16,18,17,12,7,15,13,7,11,14,5,11,9,10,22,15,26,32,20,24,27,22,22,15,18,19,20,21,22,17,20,23,13,20,18,21,10,18,17,18,14,13,14,9,18,17,8,3,14,8,7,8,15,9,9,9,8,6,9,8,6,5,2,1,5,4,2,2,2,3,2,1,3,0,6,0,2,1,0,0,0,2,0,2,12,12,21,24,9,19,11,11,13,11,12,20,13,13,6,13,8,9,9,3,11,25,34,35,40,20,23,27,27,21,22,12,21,17,18,26,22,16,19,17,14,17,14,16,16,21,15,10,17,18,18,13,14,11,10,10,9,10,5,9,15,8,6,7,10,11,11,3,8,8,4,1,0,3,4,0,2,2,2,0,3,2,1,0,0,0,2,1,4,0,3,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014492,Bristol 008A,1631,14,6,10,10,6,13,10,7,10,10,4,11,9,8,6,5,9,5,7,3,7,7,10,10,15,11,20,15,15,15,19,15,11,15,14,8,13,5,10,6,7,10,15,5,7,11,8,11,12,8,13,14,17,19,18,11,10,7,11,7,9,12,10,7,7,8,22,9,14,8,13,13,6,13,9,9,6,9,2,8,7,5,4,6,6,6,3,1,2,0,20,11,8,14,11,8,8,7,14,5,9,15,2,7,10,7,9,6,5,7,7,8,8,5,5,10,11,9,11,12,7,29,9,4,11,11,10,13,11,10,5,6,9,5,8,8,12,15,9,12,11,13,4,12,9,11,5,8,11,8,5,10,11,17,6,10,13,6,12,16,4,9,2,9,7,8,6,7,6,2,6,3,1,5,4,2,2,4,4,3,0,7,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014493,Bristol 008B,1562,16,11,11,18,14,9,5,13,10,7,8,15,9,6,11,6,8,11,9,12,10,6,7,10,8,10,11,10,12,15,15,10,13,12,14,12,11,7,12,12,6,17,15,6,13,8,7,11,10,8,12,12,15,11,12,12,7,14,9,1,11,10,4,7,8,11,9,2,5,5,6,6,4,8,2,6,5,5,5,4,3,6,3,3,2,4,3,3,0,3,5,9,15,14,16,17,15,9,7,12,8,3,9,10,11,11,8,10,6,13,5,9,9,9,7,12,13,13,16,15,14,15,6,7,14,12,10,15,8,10,12,11,4,11,7,8,8,13,5,13,17,15,19,13,13,11,8,10,4,9,5,6,13,8,12,5,4,6,5,8,5,5,4,4,0,4,5,3,5,2,2,5,5,1,1,1,5,4,1,0,4,1,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014494,Bristol 008C,1498,9,12,7,8,3,7,2,13,6,7,7,9,4,10,10,6,13,1,3,5,18,11,9,11,11,8,11,8,14,12,7,12,12,12,4,9,12,9,8,10,5,7,8,10,11,5,14,13,15,14,6,10,12,6,16,16,11,8,7,7,9,11,8,13,3,10,15,10,11,6,5,10,5,4,9,8,5,4,8,7,6,3,5,2,1,3,0,2,1,0,13,10,9,5,5,7,11,11,6,8,5,8,6,3,9,8,7,9,9,7,17,8,3,11,11,9,14,5,13,14,11,6,12,12,20,14,11,12,10,7,13,11,8,5,6,11,10,12,9,10,10,9,8,3,15,10,8,8,16,12,15,7,8,5,10,11,15,10,11,14,12,9,6,8,1,2,8,4,4,6,4,2,3,2,6,1,5,1,2,1,0,0,2015,Mid_2015_LSOA_2021_Bristol.csv
E06000023,Bristol,E01014495,Bristol 008D,1754,10,15,9,13,9,15,6,4,4,8,8,5,11,8,5,6,12,1,14,7,8,11,18,19,7,14,19,12,12,21,11,10,15,8,12,19,13,9,13,10,12,7,12,19,5,11,16,10,13,10,11,9,11,12,13,12,15,13,12,11,10,7,5,10,6,12,6,8,13,13,11,8,13,7,8,6,2,6,6,1,5,9,4,5,8,4,5,9,7,6,29,11,12,8,9,10,11,14,11,9,5,6,8,13,14,7,7,5,10,2,13,5,7,10,10,14,17,12,10,16,13,17,11,15,8,12,14,9,9,10,13,10,10,8,13,11,5,13,12,13,12,20,16,7,12,13,13,7,11,11,11,11,13,5,7,7,12,9,7,7,6,10,10,5,6,9,5,9,5,2,8,4,5,3,4,0,6,5,6,1,0,8,2015,Mid_2015_LSOA_2021_Bristol.csv
